entity_name,entity_id,bts_line,category,review_id,review_title,review_text,review_rating,published_date,created_at_date,trip_type,stay_date,review_language,is_translated,original_language,like_count,images_count,reviewer_id,reviewer_name,reviewer_username,reviewer_contribution_count,reviewer_hometown,reviewer_profile_link,has_owner_response,owner_response_text,owner_response_date,review_link,entity_link
BTS Skytrain,450970,Both Sukhumvit + Silom,transit_skytrain,1051852838,A 2026 system which does not accept credit cards is a joke.,It doesn’t accept credit cards. What a joke,1,2026-03-04,2026-03-04,solo,2026-03-31,en,False,en,0,0,11FECFB6A58FDB21AD8FCE970191B145,Mario Faria,mariof567,13,Fort Lauderdale,https://www.tripadvisor.com/Profile/mariof567,False,,,https://www.tripadvisor.com/ShowUserReviews-g293916-d450970-r1051852838-BTS_Skytrain-Bangkok.html,https://www.tripadvisor.com/Attraction_Review-g293916-d450970-Reviews-BTS_Skytrain-Bangkok.html
BTS Skytrain,450970,Both Sukhumvit + Silom,transit_skytrain,1048588853,BYS skytrain,"Great system with ticket machines that don’t like notes that are worn. Easy to use machines that dispense single use tickets that go in a slot at your destination.
Trains have great a/c and are extremely clean and fast.
Only issue is blue line has tap on and of. This line has tickets and airport line has tokens.
To much confusion.",5,2026-02-05,2026-02-05,couples,2026-02-28,en,False,en,0,10,B0D0F70F99DDE938417808AEFDF95F8C,Hugary1,Hugary1,18177,Sydney,https://www.tripadvisor.com/Profile/Hugary1,False,,,https://www.tripadvisor.com/ShowUserReviews-g293916-d450970-r1048588853-BTS_Skytrain-Bangkok.html,https://www.tripadvisor.com/Attraction_Review-g293916-d450970-Reviews-BTS_Skytrain-Bangkok.html
BTS Skytrain,450970,Both Sukhumvit + Silom,transit_skytrain,1044896388,"Easy to navigate, cheap and convenient.","The BTS SkyTrain system operates two main lines which are the Sukhumvit line and Silom line. Although the lines cover a vast number of stations, they don't really go directly to a majority of the main tourist attractions like Wat Pho or The Grand Palace. I come to Bangkok often for work. For me, the BTS SkyTrain is useful to travel short distances mainly between Sukhumvit which is where I usually stay and Siam. Very cheap. The trains are air conditioned. The trains are often crowded and seats are limited, so you will most likely need to stand. Cheap to use. My main negative is that they need to incorporate contactless payment cards into the system so you can easily tap in and out. This will thus eliminate the need to handle cash and buy tickets. The lines can be long especially during peak hours if you want to purchase a ticket. Also, some of the ticket machines only take coins to purchase a ticket which is annoying. If you don't have the right number of coins, then you have to wait in line at the counter to purchase a ticket. Otherwise, the BTS SkyTrain is easy to navigate. Trains are frequent. Useful and convenient way to get around the city.",4,2026-01-04,2026-01-04,solo,2026-01-31,en,False,en,0,1,3E589C5EE0D0477EA8BDCD16C38ADF28,Inlovewiththeworld,Travelandculturelife,3363,,https://www.tripadvisor.com/Profile/Travelandculturelife,False,,,https://www.tripadvisor.com/ShowUserReviews-g293916-d450970-r1044896388-BTS_Skytrain-Bangkok.html,https://www.tripadvisor.com/Attraction_Review-g293916-d450970-Reviews-BTS_Skytrain-Bangkok.html
BTS Skytrain,450970,Both Sukhumvit + Silom,transit_skytrain,1044558866,Means of transport,Use this communication. Simple and good. Easy and buy tickets and so on. Coming trains all the time so hardly any waiting time,4,2026-01-02,2026-01-02,couples,2025-12-31,en,True,sv,0,0,246F0D0266417D74A06E0A17C287948A,Fredrik V,55fredrikv,67,Trelleborg,https://www.tripadvisor.com/Profile/55fredrikv,False,,,https://www.tripadvisor.com/ShowUserReviews-g293916-d450970-r1044558866-BTS_Skytrain-Bangkok.html,https://www.tripadvisor.com/Attraction_Review-g293916-d450970-Reviews-BTS_Skytrain-Bangkok.html
BTS Skytrain,450970,Both Sukhumvit + Silom,transit_skytrain,1044344127,Just go.,Absolutely perfect and the best way to get around Thailand. You can buy a day ticket valid until 24.00 and costs 150 baths. Then you have time to go around and look at things. Can be a lot of people but clean and tidy and everyone behaves. You wait in line outside until everyone gets off and then you get on. Sweden has a lot to learn there 😉,5,2025-12-31,2025-12-31,couples,2025-12-31,en,True,sv,0,0,B5047FDBB0D80B40802E714EE9EA61D0,SuperMita,SuperMita,794,,https://www.tripadvisor.com/Profile/SuperMita,False,,,https://www.tripadvisor.com/ShowUserReviews-g293916-d450970-r1044344127-BTS_Skytrain-Bangkok.html,https://www.tripadvisor.com/Attraction_Review-g293916-d450970-Reviews-BTS_Skytrain-Bangkok.html
BTS Skytrain,450970,Both Sukhumvit + Silom,transit_skytrain,1042920320,Comfortable mobility,"I used it a lot because I stayed at a hotel directly connected to Ratchawiti station on BTS Sukhumvit line. We wandered around Siam and Asoke, and although taxis and buses are the usual traffic jams in Bangkok, the BTS was comfortable because it ran on time.
If you buy a Rabbit card, you can save yourself a lot of time buying tickets, which is much more convenient.",5,2025-12-18,2025-12-18,solo,2025-12-31,en,True,ja,0,3,9842FF391A39041D0328B2F405825897,akio9jp,akio9jp,20101,Narita,https://www.tripadvisor.com/Profile/akio9jp,False,,,https://www.tripadvisor.com/ShowUserReviews-g293916-d450970-r1042920320-BTS_Skytrain-Bangkok.html,https://www.tripadvisor.com/Attraction_Review-g293916-d450970-Reviews-BTS_Skytrain-Bangkok.html
BTS Skytrain,450970,Both Sukhumvit + Silom,transit_skytrain,1042755796,Worst train system in the world,"This is the worst train system anywhere in the world, and a good reason for tourists to avoid Bangkok. There are a number of reasons....

1. You cannot use a credit card to top up a travel card, and they won't give you coins for the ticket machines, and there are no ATMs located nearby. They also require a passport every time you top up.
2. They discriminate against non-Thais by not giving them the senior citizen and student discounts. 
3. The trains are so packed in the mornings that you can't even get on most of the time, and they do nothing to try to ease the congestion.

Ironically, the other train line in Bangkok - the MRT - is one of the best in the world.  Everything is mentioned above is the opposite in the MRT. Try to take the MRT instead of BTS anytime you can.",1,2025-12-17,2025-12-17,solo,2025-12-31,en,False,en,0,0,A8BDABBF439B059C9BAAD684F6BE8B15,Still Whirled,chriskennedy100,52,Bangkok,https://www.tripadvisor.com/Profile/chriskennedy100,False,,,https://www.tripadvisor.com/ShowUserReviews-g293916-d450970-r1042755796-BTS_Skytrain-Bangkok.html,https://www.tripadvisor.com/Attraction_Review-g293916-d450970-Reviews-BTS_Skytrain-Bangkok.html
BTS Skytrain,450970,Both Sukhumvit + Silom,transit_skytrain,1041349807,Clean facility. A good collaborator.,"The fastest means of communication is no inconvenience for foreigners to use and, above all, clean facilities are good. Except for the taxi, this is the only way.",5,2025-12-04,2025-12-04,family,2025-01-31,en,True,ko,0,0,78BF49A3C263AD4C24A7039EC4D67B16,Sam Kim,E9589SI_,44,Yongin,https://www.tripadvisor.com/Profile/E9589SI_,False,,,https://www.tripadvisor.com/ShowUserReviews-g293916-d450970-r1041349807-BTS_Skytrain-Bangkok.html,https://www.tripadvisor.com/Attraction_Review-g293916-d450970-Reviews-BTS_Skytrain-Bangkok.html
BTS Skytrain,450970,Both Sukhumvit + Silom,transit_skytrain,1041060485,"Well connected, on time and reliable.","We use the BTS regularly during our visits. Always on time, well connected and even easier with a rabbit card. Just use google maps and work out the way to your destination.",4,2025-12-02,2025-12-02,couples,2025-12-31,en,False,en,1,0,60FCE10A9280B81F006DD76A764E249B,Darth_Vaider,Darth_Vaider,379,United Kingdom,https://www.tripadvisor.com/Profile/Darth_Vaider,False,,,https://www.tripadvisor.com/ShowUserReviews-g293916-d450970-r1041060485-BTS_Skytrain-Bangkok.html,https://www.tripadvisor.com/Attraction_Review-g293916-d450970-Reviews-BTS_Skytrain-Bangkok.html
BTS Skytrain,450970,Both Sukhumvit + Silom,transit_skytrain,1039481326,Convenient and well connected as a first timer,"If you're like me who sometimes travels, for a first timer, a subway that connects you is important as well as staying someplace central, too. 

I used it a number of times and got 3 day passes for 150 baht which was worth it. Convenient to Central World Mall and Chatuchak Market as well as Silom. Definitely worth it. Crowded too even in the late evening hours so you feel very safe.",5,2025-11-18,2025-11-18,family,2025-11-30,en,False,en,4,0,1EA688C1E74D6AFF5114C7665C638FA9,Krishnan R,66krishnanr,305,Hayward,https://www.tripadvisor.com/Profile/66krishnanr,False,,,https://www.tripadvisor.com/ShowUserReviews-g293916-d450970-r1039481326-BTS_Skytrain-Bangkok.html,https://www.tripadvisor.com/Attraction_Review-g293916-d450970-Reviews-BTS_Skytrain-Bangkok.html
BTS Skytrain,450970,Both Sukhumvit + Silom,transit_skytrain,1037911494,Self service machine,Need mainly Thai Bart for the self service ticket machine. Fast and efficient service. We traveled as a family and no problems,5,2025-11-06,2025-11-06,family,2025-11-30,en,False,en,1,0,2BAD6422A16B87592746002C279A883A,Holly D,A4176JDhollyd,4,,https://www.tripadvisor.com/Profile/A4176JDhollyd,False,,,https://www.tripadvisor.com/ShowUserReviews-g293916-d450970-r1037911494-BTS_Skytrain-Bangkok.html,https://www.tripadvisor.com/Attraction_Review-g293916-d450970-Reviews-BTS_Skytrain-Bangkok.html
BTS Skytrain,450970,Both Sukhumvit + Silom,transit_skytrain,1037534104,Skytrain,"It is the best mode of transportation of Bangkok, fast and clean reliable. Everywhere it drives you can save the rest",5,2025-11-03,2025-11-03,family,2025-09-30,en,True,de,0,0,2661EFE4E1B261FACBEDFFEC10F9A95A,emanuel511,emanuel511,230,Stuttgart,https://www.tripadvisor.com/Profile/emanuel511,False,,,https://www.tripadvisor.com/ShowUserReviews-g293916-d450970-r1037534104-BTS_Skytrain-Bangkok.html,https://www.tripadvisor.com/Attraction_Review-g293916-d450970-Reviews-BTS_Skytrain-Bangkok.html
